count,mean,std,min,25%,50%,75%,max,community_id,centrality,retention_label
9769.0,10.20104411915242,658.5900269689381,2.0,2.0,2.0,2.0,65089.0,0.0,degree,not_retained
193.0,8.595854922279793,13.95686746356465,2.0,3.0,5.0,8.0,116.0,0.0,degree,retained
9769.0,8.707091964360345e-05,0.008461343615279901,0.0,0.0,0.0,0.0,0.8363032040045706,0.0,betweenness,not_retained
193.0,9.49682995107491e-06,2.6166787189579654e-05,0.0,0.0,2.87188407398697e-10,4.7051717455817e-06,0.0001886112466942,0.0,betweenness,retained
9769.0,0.4979130948555354,0.005334068307108962,0.4649343703340539,0.4965666615097169,0.4965666615097169,0.4999041548857047,0.9863369894099848,0.0,closeness,not_retained
193.0,0.49930108147632846,0.0027396036120924897,0.4649550934902275,0.4999101441288174,0.4999101441288174,0.4999281127192562,0.5005097940432065,0.0,closeness,retained
9769.0,0.37784074235388754,0.471020979731249,0.0,0.0,0.0,1.0,1.0,0.0,clustering,not_retained
193.0,0.7856199830649893,0.31005358711994396,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,clustering,retained
9769.0,1.8540280479066436,1.8479198965136796,1.0,1.0,1.0,2.0,47.0,0.0,kshell,not_retained
193.0,3.917098445595855,2.250779465829485,1.0,3.0,3.0,5.0,12.0,0.0,kshell,retained
9769.0,3437.508366575455,110655.30658717793,4.0,100.0,664.0,800.0,10122959.166898472,0.0,weighted_degree,not_retained
193.0,4727.038359848817,16126.971277900864,20.0,150.0,637.0,2263.4744148785253,144034.35417787475,0.0,weighted_degree,retained
843.0,12.882562277580071,28.971797525511537,2.0,4.0,4.0,9.0,349.0,1.0,degree,not_retained
14.0,5.0,2.1838568563966754,3.0,3.0,4.5,7.5,8.0,1.0,degree,retained
843.0,1.7199621049071344e-05,9.315458131573124e-05,0.0,0.0,0.0,1.7350748380798175e-06,0.0017576442096933,1.0,betweenness,not_retained
14.0,2.6221663476158722e-06,6.299287694716529e-06,0.0,0.0,0.0,2.366886880101576e-06,2.348040198172613e-05,1.0,betweenness,retained
843.0,0.4994882145790826,0.003974406521825783,0.4649291898336434,0.4999101441288174,0.4999101441288174,0.4999341025364532,0.5013878708499057,1.0,closeness,not_retained
14.0,0.4974189742691579,0.009345243093955754,0.4649499125279966,0.4999101441288174,0.4999101441288174,0.4999161335154434,0.4999341025364532,1.0,closeness,retained
843.0,0.8689047914092346,0.2427096972003874,0.0551456183884027,0.8333333333333334,1.0,1.0,1.0,1.0,clustering,not_retained
14.0,0.9465986394557825,0.0878881552108624,0.8,0.875,1.0,1.0,1.0,1.0,clustering,retained
