centrality,community_id,community_mean,community_std,global_mean,global_std,comparison_result
degree,0.0,10.169945794017266,652.1814577848169,10.644812609798946,366.8480501518087,community < global
betweenness,0.0,8.556802872705474e-05,0.0083789786147608,2.7907101809417968e-05,0.0041317695155089,community > global
closeness,0.0,0.4979399851805522,0.0052992714632601,0.4989916346225984,0.0051504874550595,community < global
clustering,0.0,0.3857409023074351,0.4717780158250158,0.7632871594961399,0.3614170174089839,community < global
kshell,0.0,1.8939971893194136,1.87807402280341,4.285233261760687,5.120778817377522,community < global
weighted_degree,0.0,3462.4912303278934,109601.07464677896,4527.133196217955,60496.20311183381,community < global
degree,1.0,12.753792298716451,28.752550682769325,10.644812609798946,366.8480501518087,community > global
betweenness,1.0,1.696148293259483e-05,9.241142319112156e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,1.0,0.4994544113534828,0.0041149453460173,0.4989916346225984,0.0051504874550595,community > global
clustering,1.0,0.8701740024625036,0.2411617083861803,0.7632871594961399,0.3614170174089839,community > global
kshell,1.0,5.424737456242707,4.07743327471198,4.285233261760687,5.120778817377522,community > global
weighted_degree,1.0,14291.500246044552,54114.38022188223,4527.133196217955,60496.20311183381,community > global
degree,2.0,8.098675150766892,245.1629725918721,10.644812609798946,366.8480501518087,community < global
betweenness,2.0,6.176792836755296e-06,9.246386129799207e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,2.0,0.4994342441751475,0.0048826120693228,0.4989916346225984,0.0051504874550595,community > global
clustering,2.0,0.9137117690053924,0.1614168178814602,0.7632871594961399,0.3614170174089839,community > global
kshell,2.0,3.900280165250012,1.6119182314825191,4.285233261760687,5.120778817377522,community < global
weighted_degree,2.0,1296.3301340206378,20259.802902059797,4527.133196217955,60496.20311183381,community < global
degree,3.0,18.09251101321586,19.55512485945012,10.644812609798946,366.8480501518087,community > global
betweenness,3.0,1.929480035299839e-05,3.953120275903398e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,3.0,0.4994839726664156,0.0040074572932205,0.4989916346225984,0.0051504874550595,community > global
clustering,3.0,0.7839580326197686,0.2294891043331424,0.7632871594961399,0.3614170174089839,community > global
kshell,3.0,7.506607929515418,4.460614311489623,4.285233261760687,5.120778817377522,community > global
weighted_degree,3.0,17467.09691629956,32814.60831513185,4527.133196217955,60496.20311183381,community > global
degree,4.0,12.845814977973568,17.607520959947646,10.644812609798946,366.8480501518087,community > global
betweenness,4.0,2.127428036451379e-05,8.740152028779799e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,4.0,0.4996381424923776,0.0032795725700112,0.4989916346225984,0.0051504874550595,community > global
clustering,4.0,0.8333556271406898,0.2312639249179499,0.7632871594961399,0.3614170174089839,community > global
kshell,4.0,5.9118942731277535,4.064871029239134,4.285233261760687,5.120778817377522,community > global
weighted_degree,4.0,14219.124695951488,37891.320470821534,4527.133196217955,60496.20311183381,community > global
degree,5.0,15.494176372712149,23.68122426513265,10.644812609798946,366.8480501518087,community > global
betweenness,5.0,1.777227427018497e-05,6.378950676893133e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,5.0,0.4998418807632729,0.0020201216702828,0.4989916346225984,0.0051504874550595,community > global
clustering,5.0,0.8043943924353045,0.2515873262295967,0.7632871594961399,0.3614170174089839,community > global
kshell,5.0,6.718801996672213,5.970130866438018,4.285233261760687,5.120778817377522,community > global
weighted_degree,5.0,13894.722792018236,45163.16406291669,4527.133196217955,60496.20311183381,community > global
degree,6.0,12.225596529284164,41.9416775649461,10.644812609798946,366.8480501518087,community > global
betweenness,6.0,1.7294331936620152e-05,0.0001499895049752,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,6.0,0.4966029155566503,0.0102895458275802,0.4989916346225984,0.0051504874550595,community < global
clustering,6.0,0.8537991344307098,0.2481398546662686,0.7632871594961399,0.3614170174089839,community > global
kshell,6.0,4.934924078091107,3.4735069038919435,4.285233261760687,5.120778817377522,community > global
weighted_degree,6.0,5660.351505717854,26652.695412704423,4527.133196217955,60496.20311183381,community > global
degree,7.0,11.743016759776536,30.074269375804977,10.644812609798946,366.8480501518087,community > global
betweenness,7.0,9.268727281783066e-06,4.031242191335505e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,7.0,0.4979930991699438,0.0080642757115087,0.4989916346225984,0.0051504874550595,community < global
clustering,7.0,0.8526953603935455,0.2145188732224169,0.7632871594961399,0.3614170174089839,community > global
kshell,7.0,5.111731843575419,2.1276211370845743,4.285233261760687,5.120778817377522,community > global
weighted_degree,7.0,4187.256797414806,21605.32587965035,4527.133196217955,60496.20311183381,community < global
degree,8.0,9.936395759717314,30.98616104239223,10.644812609798946,366.8480501518087,community < global
betweenness,8.0,1.5504685702275592e-05,9.393251149220056e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,8.0,0.4987028143644165,0.0064584690632262,0.4989916346225984,0.0051504874550595,community < global
clustering,8.0,0.8610770667262823,0.2473162534956806,0.7632871594961399,0.3614170174089839,community > global
kshell,8.0,4.0765606595995285,1.7066820526056836,4.285233261760687,5.120778817377522,community < global
weighted_degree,8.0,4705.982340629143,26164.943001052216,4527.133196217955,60496.20311183381,community > global
degree,9.0,9.937037037037037,20.66478152919071,10.644812609798946,366.8480501518087,community < global
betweenness,9.0,1.0748054069397047e-05,3.38820762340599e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,9.0,0.4996687705049613,0.0030123002072215,0.4989916346225984,0.0051504874550595,community > global
clustering,9.0,0.8251913131477397,0.2425395214278999,0.7632871594961399,0.3614170174089839,community > global
kshell,9.0,4.603703703703704,1.891672512168736,4.285233261760687,5.120778817377522,community > global
weighted_degree,9.0,4464.322304033866,18751.926918947265,4527.133196217955,60496.20311183381,community < global
degree,10.0,13.32183908045977,27.203152285220067,10.644812609798946,366.8480501518087,community > global
betweenness,10.0,1.064870355567306e-05,5.665936431064653e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,10.0,0.499954243707062,0.0001357154036969,0.4989916346225984,0.0051504874550595,community > global
clustering,10.0,0.8137031471514565,0.2695891020922684,0.7632871594961399,0.3614170174089839,community > global
kshell,10.0,4.528735632183908,1.8416314838534429,4.285233261760687,5.120778817377522,community > global
weighted_degree,10.0,7931.411758334213,31922.13761165571,4527.133196217955,60496.20311183381,community > global
degree,11.0,6.833333333333333,1.940790217067952,10.644812609798946,366.8480501518087,community < global
betweenness,11.0,8.912093539429343e-06,2.070195128959778e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,11.0,0.4999231214441357,8.81644716517743e-06,0.4989916346225984,0.0051504874550595,community > global
clustering,11.0,0.8222222222222221,0.15006171569897,0.7632871594961399,0.3614170174089839,community > global
kshell,11.0,4.5,0.8366600265340756,4.285233261760687,5.120778817377522,community > global
weighted_degree,11.0,3834.0,2014.8801453188228,4527.133196217955,60496.20311183381,community < global
degree,12.0,9.699208443271768,20.025757868499227,10.644812609798946,366.8480501518087,community < global
betweenness,12.0,1.3283283279552723e-05,5.291281581791754e-05,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,12.0,0.499376439163473,0.0043676698199026,0.4989916346225984,0.0051504874550595,community > global
clustering,12.0,0.8243241330002731,0.2456421346105283,0.7632871594961399,0.3614170174089839,community > global
kshell,12.0,4.506596306068602,1.7141903153177545,4.285233261760687,5.120778817377522,community > global
weighted_degree,12.0,3886.302753293875,17581.102840008025,4527.133196217955,60496.20311183381,community < global
degree,13.0,9.397515527950311,33.687401113603585,10.644812609798946,366.8480501518087,community < global
betweenness,13.0,1.674891648924849e-05,0.0001215632667276,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,13.0,0.4992834237998172,0.0047499354050481,0.4989916346225984,0.0051504874550595,community > global
clustering,13.0,0.9092820023708804,0.2272950947376652,0.7632871594961399,0.3614170174089839,community > global
kshell,13.0,3.968944099378882,1.6256627888666189,4.285233261760687,5.120778817377522,community < global
weighted_degree,13.0,2959.1798678670248,13154.107845106197,4527.133196217955,60496.20311183381,community < global
degree,14.0,11.44047619047619,39.33159158922152,10.644812609798946,366.8480501518087,community > global
betweenness,14.0,1.5022291365533674e-05,0.0001076838490935,2.7907101809417968e-05,0.0041317695155089,community < global
closeness,14.0,0.4987382878284495,0.0063662818370698,0.4989916346225984,0.0051504874550595,community < global
clustering,14.0,0.8536826601424626,0.2470932460085244,0.7632871594961399,0.3614170174089839,community > global
