count,mean,std,min,25%,50%,75%,max,community_id,centrality
9962.0,10.169945794017266,652.1814577848169,2.0,2.0,2.0,3.0,65089.0,0.0,degree
9962.0,8.556802872705474e-05,0.008378978614760838,0.0,0.0,0.0,0.0,0.8363032040045706,0.0,betweenness
9962.0,0.4979399851805522,0.005299271463260194,0.4649343703340539,0.4965666615097169,0.4965666615097169,0.4999041548857047,0.9863369894099848,0.0,closeness
9962.0,0.38574090230743513,0.4717780158250158,0.0,0.0,0.0,1.0,1.0,0.0,clustering
9962.0,1.8939971893194139,1.87807402280341,1.0,1.0,1.0,2.0,47.0,0.0,kshell
9962.0,3462.4912303278934,109601.07464677897,4.0,100.0,664.0,800.0,10122959.166898472,0.0,weighted_degree
857.0,12.753792298716453,28.752550682769325,2.0,4.0,4.0,9.0,349.0,1.0,degree
857.0,1.696148293259483e-05,9.241142319112156e-05,0.0,0.0,0.0,1.7350748380798175e-06,0.0017576442096933,1.0,betweenness
857.0,0.49945441135348284,0.004114945346017311,0.4649291898336434,0.4999101441288174,0.4999101441288174,0.4999341025364532,0.5013878708499057,1.0,closeness
857.0,0.8701740024625036,0.24116170838618034,0.0551456183884027,0.8333333333333334,1.0,1.0,1.0,1.0,clustering
857.0,5.424737456242707,4.07743327471198,2.0,3.0,3.0,6.0,26.0,1.0,kshell
857.0,14291.500246044552,54114.38022188223,100.0,500.0,545.0,3563.0,698186.0,1.0,weighted_degree
21059.0,8.098675150766892,245.16297259187206,2.0,4.0,5.0,6.0,35431.0,2.0,degree
21059.0,6.176792836755296e-06,9.246386129799207e-05,0.0,0.0,0.0,4.0909651928401285e-07,0.0098001648977636,2.0,betweenness
21059.0,0.49943424417514753,0.00488261206932286,0.4649291898336434,0.4999101441288174,0.4999161335154434,0.499922123045588,0.8688753305707682,2.0,closeness
21059.0,0.9137117690053924,0.1614168178814602,0.0001978459460875,0.8333333333333334,1.0,1.0,1.0,2.0,clustering
21059.0,3.900280165250012,1.6119182314825193,2.0,3.0,4.0,4.0,47.0,2.0,kshell
21059.0,1296.3301340206378,20259.802902059793,2.0,310.0,542.0,640.0,2641395.1,2.0,weighted_degree
227.0,18.09251101321586,19.555124859450117,2.0,5.0,10.0,25.5,116.0,3.0,degree
227.0,1.929480035299839e-05,3.953120275903398e-05,0.0,3.329248565732336e-08,3.187457882679671e-06,1.6686195719202607e-05,0.0002487618822381,3.0,betweenness
227.0,0.49948397266641564,0.004007457293220578,0.4649499125279966,0.4999131388221304,0.4999341025364532,0.4999820262416871,0.5003297480724727,3.0,closeness
227.0,0.7839580326197686,0.2294891043331424,0.1621730382293762,0.6376262626262625,0.8444444444444444,1.0,1.0,3.0,clustering
227.0,7.506607929515418,4.460614311489623,2.0,3.0,6.0,11.0,17.0,3.0,kshell
227.0,17467.09691629956,32814.60831513185,150.0,726.5,3452.0,16479.5,192227.0,3.0,weighted_degree
227.0,12.845814977973568,17.607520959947646,3.0,3.0,5.0,15.5,124.0,4.0,degree
227.0,2.127428036451379e-05,8.740152028779799e-05,0.0,0.0,1.509436229259894e-09,1.126875481459367e-05,0.0009156411035591,4.0,betweenness
227.0,0.4996381424923776,0.003279572570011205,0.4649343703340539,0.4999101441288174,0.4999161335154434,0.4999520728492691,0.5004077520867313,4.0,closeness
227.0,0.8333556271406898,0.23126392491794995,0.1239398084815321,0.7055555555555555,1.0,1.0,1.0,4.0,clustering
227.0,5.9118942731277535,4.064871029239134,3.0,3.0,3.0,7.5,20.0,4.0,kshell
227.0,14219.124695951488,37891.320470821534,150.0,500.0,909.0,7983.0,264321.0,4.0,weighted_degree
601.0,15.494176372712147,23.681224265132652,3.0,4.0,6.0,17.0,276.0,5.0,degree
601.0,1.777227427018497e-05,6.378950676893133e-05,0.0,0.0,5.074484651449798e-07,7.938457455766842e-06,0.0009702581279828,5.0,betweenness
601.0,0.4998418807632729,0.0020201216702828394,0.4649395509499136,0.4999101441288174,0.499922123045588,0.4999640537755517,0.5010025814972684,5.0,closeness
601.0,0.8043943924353045,0.2515873262295967,0.0940721649484536,0.6638477801268499,0.9333333333333332,1.0,1.0,5.0,clustering
601.0,6.718801996672213,5.970130866438018,3.0,3.0,4.0,8.0,26.0,5.0,kshell
601.0,13894.722792018236,45163.16406291669,115.0,533.0,1701.0,7616.0,442830.0,5.0,weighted_degree
922.0,12.225596529284164,41.941677564946104,2.0,4.0,5.0,6.0,1081.0,6.0,degree
922.0,1.7294331936620152e-05,0.00014998950497528585,0.0,0.0,4.395951404013838e-10,8.980549928095927e-07,0.0041352776439895,6.0,betweenness
922.0,0.49660291555665037,0.010289545827580257,0.4649291898336434,0.4999101441288174,0.4999161335154434,0.499922123045588,0.504546553808948,6.0,closeness
922.0,0.8537991344307098,0.24813985466626864,0.0110347389931265,0.8333333333333334,1.0,1.0,1.0,6.0,clustering
922.0,4.934924078091107,3.4735069038919435,2.0,3.0,4.0,5.0,20.0,6.0,kshell
922.0,5660.351505717854,26652.695412704426,54.0,200.0,501.0,963.8113440586237,393519.0,6.0,weighted_degree
179.0,11.743016759776536,30.074269375804977,3.0,4.0,6.0,9.0,312.0,7.0,degree
179.0,9.268727281783066e-06,4.031242191335505e-05,0.0,0.0,0.0,1.056223746346502e-08,0.0004910331942665,7.0,betweenness
179.0,0.4979930991699438,0.008064275711508785,0.4649291898336434,0.4999101441288174,0.499922123045588,0.4999341025364532,0.5012553608111192,7.0,closeness
179.0,0.8526953603935455,0.21451887322241692,0.0298623835328057,0.7817460317460317,0.9333333333333332,1.0,1.0,7.0,clustering
