label,prevalence,thr_f1_opt,test_roc_auc@t*,test_pr_auc@t*,test_f1@t*,test_recall@t*,test_precision@t*,test_roc_auc@0.5,test_pr_auc@0.5,test_f1@0.5,test_recall@0.5,test_precision@0.5,thr_pct
retained_15,0.07842945584881068,0.15,0.730814905828273,0.2459404319821552,0.2773044151820295,0.49584487534626037,0.1924731182795699,0.730814905828273,0.2459404319821552,0.0,0.0,0.0,15
retained_20,0.07103290974258716,0.15,0.7380795078433181,0.2099531599556191,0.27419354838709675,0.46788990825688076,0.19391634980988592,0.7380795078433181,0.2099531599556191,0.0,0.0,0.0,20
retained_25,0.06376669925057021,0.15,0.7179621036349574,0.18417987519466059,0.2478527607361963,0.3435374149659864,0.19385796545105566,0.7179621036349574,0.18417987519466059,0.0,0.0,0.0,25
retained_30,0.05575105897686543,0.1,0.7392248690675353,0.17913377124661228,0.2183206106870229,0.556420233463035,0.13580246913580246,0.7392248690675353,0.17913377124661228,0.0,0.0,0.0,30
retained_35,0.04473769957640925,0.1,0.7276178050923412,0.1392520091200251,0.22040816326530613,0.3932038834951456,0.15311909262759923,0.7276178050923412,0.1392520091200251,0.0,0.0,0.0,35
retained_40,0.036331052460084716,0.1,0.7887821382252399,0.15988395460130742,0.2403560830860534,0.48502994011976047,0.15976331360946747,0.7887821382252399,0.15988395460130742,0.0,0.0,0.0,40
retained_45,0.03268165526230042,0.1,0.7696262509239252,0.11519677573185796,0.17741935483870966,0.2185430463576159,0.1493212669683258,0.7696262509239252,0.11519677573185796,0.0,0.0,0.0,45
retained_50,0.029781687846203976,0.05,0.7516009536274938,0.10064078539983345,0.1482889733840304,0.5693430656934306,0.08524590163934426,0.7516009536274938,0.10064078539983345,0.0,0.0,0.0,50
