consensus_community_id,degree_mean,degree_std,weighted_degree_mean,weighted_degree_std,clustering_mean,clustering_std,betweenness_mean,betweenness_std
0,4.4097305991154,237.8978326693243,664.4746907199903,33772.70819079194,0.21220711610360465,0.39785023291493726,6.698369737815362e-05,0.007967706911337198
1,4.756589147286822,84.92160320181272,1494.1322226920365,14451.340664840354,0.639699047648488,0.43769528622162557,6.009129364364269e-05,0.0007394242274358235
2,6.352025931928687,47.70495308231185,2131.7249205834682,13983.62270343354,0.47128904614835293,0.45700328257277256,0.0005950153175598655,0.011752878628502682
3,6.742207245155855,31.29637717242763,2636.260893007582,15848.251408338532,0.5805078197019292,0.448049803646387,0.000590976049263958,0.007183647110383309
4,5.6104252400548695,21.313029685078952,2205.218637402835,13451.929463725079,0.4397004365418344,0.43814613578990513,0.000682640635794149,0.006323055991553541
5,9.944994499449946,22.267776712534378,12358.889053905392,41315.318502273534,0.38001162222432094,0.40800775488821744,0.0010153119369552372,0.005300330033945154
6,5.353191489361702,20.886202440832577,2446.6058358662613,16214.027282782254,0.46616545789659375,0.45636221620358414,0.0007439989924237202,0.007588047865331276
7,0.5,0.5773502691896257,25.0,28.867513459481287,0.0,0.0,0.0,0.0
8,6.311244979919679,18.49523948137988,2647.7911646586344,10694.856147637298,0.546474607225226,0.4550315563522048,0.002261029396089562,0.015944980354784713
9,35.53705583756345,56.380106058868655,36808.2538071066,83104.09055463613,0.43426131800226436,0.3088718099067926,0.001669964234124477,0.011045956728484328
10,7.242245199409158,13.561623160427725,5483.158833087149,25839.502249127505,0.4350432390926581,0.4216372478087628,0.001879486544477496,0.011679463839701122
11,1.1111111111111112,1.1666666666666667,228.88888888888889,311.90721554832794,0.0,0.0,0.0,0.0
12,6.729411764705882,19.89092458802578,2908.564369747899,12768.924085853014,0.5514162638613344,0.4301777669114166,0.0034636615134581643,0.023704463107113362
13,13.49438202247191,19.10293451844209,7724.12734082397,19277.34598369607,0.48660484371065216,0.3877736646335176,0.004702411529804756,0.020044399124842967
14,4.854838709677419,13.539135074287113,2077.0040322580644,11694.35474271533,0.4644543067805341,0.4481162316306646,0.002637960511474942,0.015072855206828667
15,11.975051975051976,14.689260577012595,10233.114345114345,23105.55216783723,0.5074087432428799,0.37221269230179105,0.005597653418634627,0.0165289351232892
16,7.918767507002801,18.910036090882905,6204.689327731092,22306.469729210854,0.442734451431096,0.4350422915371126,0.0013158516790897764,0.007724420835640648
17,0.25,0.46291004988627577,25.0,46.29100498862757,0.0,0.0,0.0,0.0
18,10.347003154574132,18.7466308916553,7440.018927444795,26428.63325620112,0.3237609709472192,0.43996801734068997,0.0020958554460930364,0.01077931584907588
19,5.515669515669516,19.606534174508823,1709.5726495726497,9201.058272037042,0.48947368770717603,0.43835817956671086,0.002618890183360098,0.021786819364448907
20,11.077399380804954,20.77183540303569,1109.0532507739938,4624.598648526225,0.5953461509506969,0.3517499480725993,0.005582861472825409,0.032933003711062094
21,44.214285714285715,38.73283856307335,20948.373015873014,46550.79021239224,0.5878405316527323,0.25035502935624604,0.004535698475937521,0.009811828785597613
23,13.080213903743315,16.805944415472005,7608.57743315508,15170.174221249372,0.6057903191296888,0.3621814375541146,0.009245850991581542,0.046855510113625556
24,10.127659574468085,16.29366707117031,1449.9148936170213,3713.2837575566105,0.5242350477861332,0.4023732770234984,0.007860823802963709,0.029472600363772108
25,37.41525423728814,40.83174115154781,34485.88983050847,70544.20665554437,0.41124677919336694,0.3509845866443027,0.0021651086021803657,0.007845307563135109
26,5.107692307692307,7.578269784577965,772.4153846153846,1849.3173841605385,0.1421017871017871,0.29200064983269813,0.022865887745974957,0.07311611979111159
27,12.093023255813954,13.285664903529089,1576.046511627907,2903.8046235807365,0.6028980070943568,0.3845698027457447,0.01493550908735587,0.04307003975831305
28,13.721518987341772,13.60141085146228,893.5949367088608,1573.5247997278748,0.550588126929347,0.3256406222333075,0.017415074377099694,0.046979621964414034
29,5.904761904761905,8.737598189423432,1330.095238095238,2452.902603922911,0.5918310382522383,0.41672501735392564,0.01560021152829191,0.05054111462189593
30,9.484848484848484,7.496137311447449,1307.7878787878788,1117.2380438474368,0.5362739311675606,0.3202127623543972,0.027600524475524472,0.05324587126969739
31,9.03125,8.672102233187587,5401.0625,10873.317624109115,0.5278361920426065,0.3790178288143789,0.03314612135176651,0.06854028161631805
33,6.606060606060606,8.081380582623993,1115.8181818181818,1757.706681562396,0.5738879478009913,0.4172148157041431,0.03369379276637341,0.10386644399546521
34,9.030303030303031,8.80867771179665,3098.3030303030305,4032.02831622039,0.5735881343536846,0.37202804522118177,0.02996700879765396,0.07659808617159743
35,18.58823529411765,9.480630408426249,9169.882352941177,14857.161980347866,0.7752639517345399,0.374276577225221,0.01764705882352941,0.029313102577294196
36,16.8,11.095309024670795,1801.3142857142857,1379.8626694546895,0.6701688787403074,0.32079641265256653,0.008861726508785334,0.011535853873725736
38,5.428571428571429,3.3594217189442417,820.8571428571429,483.67255747782804,0.6904761904761905,0.4130797993547017,0.11904761904761904,0.22098863960841703
39,6.8,1.0954451150103324,1531.2,566.4403763857234,1.0,0.0,0.05,0.06846531968814576
