,count,mean,std,min,25%,50%,75%,max
community_size,41727.0,7307.575263019148,6037.016894411357,4.0,1818.0,7095.0,14922.0,14922.0
retained_25,40984.0,0.08459398789771619,0.27827995727452415,0.0,0.0,0.0,0.0,1.0
