consensus_community_id,degree_mean,degree_std,weighted_degree_mean,weighted_degree_std,clustering_mean,clustering_std,betweenness_mean,betweenness_std
0,5.942132818958391,45.865413126332655,1936.8898815100579,13483.479361373666,0.41776087508432364,0.4538680499471084,0.00048747688752436843,0.009754879856484577
1,4.842246888664649,19.429852898163546,1870.74128489741,12078.118271068706,0.33884774099850234,0.425584224538498,0.0004291220397167158,0.004205482614093121
2,6.592336900241629,19.17046558247583,7195.344252675181,32585.73930725987,0.22961003310892442,0.3703063669739445,0.0003907564024553501,0.0026768606160134122
3,6.225394440270473,29.968935208657484,2401.872381667919,15066.963380115325,0.5141160900391379,0.4600420089908119,0.0004838757154601543,0.0059683377437353665
4,4.5106042416966785,14.894779997434542,2100.2246658663466,13485.484495579558,0.2490493125267865,0.3763440658084806,0.000488087671564882,0.003903275404701443
5,4.659386375455018,20.012871743438385,2154.0359438377536,15437.67906776825,0.3725933856724794,0.4488066467496989,0.0006185923905106844,0.006487254628877085
6,4.814332247557004,14.206523856723049,3423.3501628664494,17055.351144043972,0.11555177086656043,0.2962606034014107,0.0003201734905290537,0.0022695356600047423
7,5.743679163034002,17.701782126834274,2380.003487358326,10143.507753545398,0.46786917019544333,0.46234227537751693,0.0017375000032390756,0.012801921083938515
8,4.572237960339943,12.338147760761483,1803.8318980169972,8780.367231625758,0.29289179656035014,0.4052778927100568,0.0010675782221108547,0.006496456758951586
9,34.654761904761905,56.02317098604411,35958.47420634921,82309.0801823473,0.41901440579889765,0.3139338996057366,0.0015862623630860293,0.010416213150399515
10,7.421686746987952,15.655137687834797,844.2947791164657,3765.298262383024,0.34425388869978474,0.38849590545321844,0.0032683215604078016,0.01783417061421601
11,6.757553426676492,16.793980587709584,4280.634546794399,17786.613380988994,0.4452632972137468,0.4388346763061616,0.001294619610428107,0.008907981408887957
12,5.733333333333333,7.958224257542215,6403.466666666666,14948.630850559735,0.20726361220478867,0.3422392141773282,0.00774281130445514,0.019012925866703674
13,18.285714285714285,12.030384812222707,2003.357142857143,1429.852730419406,0.6050730432032952,0.37340420349526743,0.01500814000814001,0.02159159177809401
14,7.492201039861352,14.07317112599388,5310.242634315425,17469.94399961194,0.4212308719793363,0.41764187906077027,0.0007926305555263282,0.00319089386389805
15,3.9616122840690977,18.259835718660344,1173.6804222648752,5771.5946670568155,0.2884699454321432,0.4232625474414213,0.0015948724776235247,0.015978277787259403
16,9.018255578093306,15.831611098019593,5752.117647058823,16563.126037573264,0.3574308449489584,0.39459803162317464,0.004225601552562295,0.014115239566851345
17,9.26710816777042,16.214183122128592,8738.90105960265,27102.962416558214,0.4151029145777951,0.42499881536738565,0.0047969593488138085,0.02421792179658328
18,4.723404255319149,9.696911425057484,1393.7304964539007,3214.3266099481034,0.3746522139602822,0.4300541253276939,0.00703169986806907,0.036632797814513084
19,5.125628140703518,19.033956041819742,1557.7336683417086,8855.101664895747,0.4281881051322502,0.43686458415280993,0.002140262030709226,0.018347278374719493
20,4.401041666666667,10.482889151829218,3762.7765104166665,22953.00698831775,0.36524737100526666,0.43897363961556585,0.0023972480338013027,0.012561452684236567
21,3.6593059936908516,7.67191265726015,1706.0252365930598,6917.066183575857,0.2627113304217254,0.4044285009857023,0.0013740176420366508,0.006173190145987136
23,6.0608108108108105,11.39445381075556,612.668918918919,1767.2107348981244,0.3507025087497102,0.4149777703669752,0.003813325605093158,0.020940082775542792
24,3.2634920634920634,4.969694834448921,371.8285714285714,891.2004906123527,0.038168260311117454,0.18044974287688625,0.006880331071942966,0.027535284451493815
25,41.37269372693727,38.88850910609377,19542.952029520296,45191.394105776555,0.5790060438927326,0.2710353827769278,0.004331462149813566,0.009930424121369383
