,count,mean,std,min,25%,50%,75%,max
community_size,31235.0,1797.7927645269729,1214.719602436296,2.0,640.0,1880.0,2873.0,3673.0
retained_20,30690.0,0.07103290974258716,0.2568839926267843,0.0,0.0,0.0,0.0,1.0
