count,mean,std,min,25%,50%,75%,max,centrality,retention_label
30690,7.642228739002933,28.424308898544876,0.0,1.0,2.0,4.0,2584.0,raw_degree,all
28510,7.014801823921431,27.12891507930114,0.0,1.0,2.0,4.0,2584.0,raw_degree,0
2180,15.847706422018348,40.95527193737167,0.0,3.0,4.0,15.0,1077.0,raw_degree,1
30690,7.843401573433033e-05,0.0014458633330121276,0.0,0.0,0.0,6.680156989606613e-07,0.1340110190848239,betweenness,all
28510,6.946247717281957e-05,0.0014690750832345816,0.0,0.0,0.0,3.659975863360662e-07,0.1340110190848239,betweenness,0
2180,0.000195763632426368,0.0010915184257919673,0.0,0.0,5.214478618822768e-09,3.1917147129669436e-05,0.0248663176588979,betweenness,1
30690,0.3456516711155027,0.4201210326892297,0.0,0.0,0.005300418346245801,0.8131868131868132,1.0,clustering,all
28510,0.3369698542550411,0.4198518990184475,0.0,0.0,0.0,0.7692307692307693,1.0,clustering,0
2180,0.4591923127172374,0.4070096133116878,0.0,0.01656852849410815,0.35071301247771836,1.0,1.0,clustering,1
30690,5028.778982404694,28879.196729421175,0.46,200.0,400.0,602.0,1938370.0,weighted_degree,all
28510,4537.641278849528,27304.545274144682,0.46,200.0,400.0,552.0,1938370.0,weighted_degree,0
2180,11451.868857798167,44129.996727819576,1.0,180.0,482.5,4030.5,923752.0,weighted_degree,1
