user,motif_type,peers,user_count,global_count
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0x92F5Ae36Cd78d7e39C8B70e166c0226731b92E51')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0x653d0dFA525284aF1ce89a70Ca33509856811f90')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xedC548BF7c578670c61D95a716b955C77d1CdFD9')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xDc5cf73DE7Cdf1915FdAF2f7aD0748A0F9f5f2Fd')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xBC9F9E079E84f885F992d4C281f31b2530A5CE5a')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xdD176C49DA00BB41D0fF4aBb9535E17F58F05b64')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x1119c2bf6D439e62E0619c2C366a325947cC6E9F', '0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0x6e4849e49c250063546280a7232548248DD858b8')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x1e76684581545b028D2c54F5B996D61376d030F0', '0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x078bB45Fae25284109dBA9Eb955D97D7706955cC', '0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xCf5A5451a91786123738e0F983b1Cb7202245601')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x28Fa530cC4Db079c05B7850e98Aa4442b929A35E', '0xA74eD1e697027493b31567db68c30a8305FF4068')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x7c361924Bf16ef8688FfD1bE80be53Db81f94aa8')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xFeeae8619e0524D2D586f3d35188FBA871CD6461')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x29bbB92F7858d0A493D890711cABE5F0BCb90796')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x0B1660298be52C745714378C2B6a450FE8234354')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xDBbE0a2f6Fbc182f5606ED66367C019a934C7a31')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x0ccA8b64D999E0cF6e04E55A467F481EdF1f99eC')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x55A6a9c8f39B15E23Fb63f11E0712248C61Ec83a')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x0Ea500264133226dEb742F3276508f9085EB1190')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xeF9Af24958CFBA57f73bbAc7E515e6d48b591DD7')",3,3
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xe6f7Aed76ceF4f8D71513ad299f5ec0835339c74')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0x5fe49C19e74Af46053C9dD1eA44f5755Ee643b90')",6,6
0xD95954e3fCd2f09A6Be5931D24f731eFa63BF435,cycle_3node,"('0x092e4a029e6E2785483764FfB8391EaEa170a9fF', '0xbfA95c2D69B5a3E4b2BDeB473A326e31A893b5B7')",6,6
